,Barbunya,Bombay,Cali,Dermason,Horoz,Seker,Sira
Barbunya,1207,0,73,0,3,14,25
Bombay,0,521,1,0,0,0,0
Cali,51,3,1537,0,26,3,10
Dermason,0,0,0,3296,8,44,198
Horoz,2,0,29,18,1826,0,53
Seker,12,0,0,36,1,1926,52
Sira,11,0,5,246,36,19,2319
